지 역,,,,2011년,2012년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
,,,,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
,울주군,,,92.795,93.058,96.617,97.99,100.055,105.866,106.751,104.799,95.785,91.357,94.902,104.802
세종,,,,-,-,62.162,66.43,65.26,64.611,64.955,67.731,68.427,66.98,97.071,96.311
강원,,,,93.734,95.65,97.064,97.253,97.7,100.995,103.049,105.488,100.374,93.763,95.79,105.094
,춘천시,,,104.18,105.715,103.947,102.176,100.548,101.767,104.343,106.067,98.87,91.502,95.154,105.603
,원주시,,,95.209,98.413,100.946,102.942,103.5,104.945,107.063,108.259,100.914,91.688,94.864,104.598
,강릉시,,,76.36,76.985,81.453,82.644,84.644,92.406,93.243,97.174,96.522,92.597,94.141,107.035
,동해시,,,-,97.442,98.737,98.467,98.893,103.92,107.862,113.035,107.413,101.041,99.284,102.305
,태백시,,,-,99.256,98.14,97.909,99.152,101.193,100.159,101.535,100.084,99.332,99.335,100.41
,속초시,,,-,97.576,95.818,94.726,97.042,102.658,105.58,111.013,104.815,96.465,96.375,113.367
,삼척시,,,-,99.814,101.504,101.981,102.158,104.37,105.169,107.002,102.112,99.24,99.393,101.597
충북,,,,95.077,95.691,98.542,99.95,103.733,105.965,104.41,102.284,96.076,90.087,94.759,106.917
,청주시,,,-,95.414,96.316,97.408,101.96,103.687,101.477,99.185,93.946,87.848,94.268,106.101
,,상당구,,-,105.853,105.09,106.377,111.058,111.537,109.216,106.85,100.14,92.486,95.984,106.273
,,서원구,,-,102.223,103.573,104.381,108.513,110.531,106.661,103.592,96.559,89.839,94.453,107.169
,,흥덕구,,-,86.204,87.165,88.071,93.237,95.593,93.985,92.748,90.479,84.376,92.94,106.225
,,청원구,,-,92.007,93.578,95.182,99.176,100.623,99.629,96.755,90.561,86.419,94.323,104.638
,충주시,,,98.966,99.834,103.216,105.044,105.979,108.922,109.22,107.259,95.262,87.557,94.6,110.189
,제천시,,,-,90.761,104.347,107.3,109.167,114.375,114.272,110.39,105.249,97.931,95.139,111.635
,음성군,,,-,95.286,100.135,102.26,105.969,109.66,110.083,108.956,102.285,98.799,94.889,103.676
충남,,,,87.752,88.639,93.273,97.5,101.773,102.472,99.263,96.65,92.179,89.266,94.08,106.687
,천안시,,,81.614,82.612,88.518,94.424,100.634,100.311,95.515,92.036,87.836,85.616,93.719,107.425
,,동남구,,85.934,86.029,92.094,99.243,106.881,106.496,100.998,97.948,92.562,87.951,93.859,106.484
,,서북구,,79.507,81.071,86.922,92.086,97.453,97.165,92.743,89.006,85.435,84.404,93.645,107.947
,공주시,,,84.892,86.522,89.022,92.186,93.597,92.427,90.963,90.814,85.873,82.593,90.623,103.579
,보령시,,,-,96.233,105.323,107.996,114.117,117.967,116.64,112.309,103.989,97.738,96.616,108.698
,아산시,,,84.697,85.327,91.906,95.761,99.58,100.922,97.901,94.603,90.303,87.375,90.768,108.113
,서산시,,,-,113.86,111.759,113.735,115.791,118.796,116.29,113.011,104.373,98.879,98.119,105.845
,논산시,,,100.254,100.348,99.432,100.555,100.679,98.481,97.134,97.441,95.957,93.636,97.098,103.525
,계룡시,,,90.392,90.461,89.028,88.531,85.504,81.735,81.571,84.737,83.217,81.734,90.924,104.361
,홍성군,,,-,86.713,89.118,90.423,89.42,88.468,86.659,84.576,83.059,82.895,88.843,105.61
,예산군,,,-,90.804,94.193,98.422,103.832,106.967,103.242,101.452,96.783,96.617,95.791,102.499
,당진시,,,-,106.988,104.924,108.121,111.319,116.45,115.303,115.01,109.2,103.619,101.745,105.407
전북,,,,103.276,104.607,101.857,100.221,99.452,99.997,99.823,101.292,99.376,95.237,97.661,105.355
,전주시,,,101.124,102.467,97.495,96.128,95.456,97.039,97.627,99.468,98.102,92.256,97.107,106.292
,,완산구,,101.351,102.285,98.201,96.889,95.839,97.028,98.236,100.34,99.114,93.076,96.788,106.204
,,덕진구,,100.985,102.895,96.699,95.255,95.095,97.212,97.002,98.509,96.968,91.344,97.467,106.383
,군산시,,,117.332,118.406,118.095,115.648,114.352,112.841,109.509,108.272,100.699,96.447,97.002,108.233
,익산시,,,99.913,101.261,98.965,95.519,94.123,94.176,95.409,99,100.799,98.897,99.091,101.728
,정읍시,,,-,102.865,100.396,98.491,98.42,99,98.757,99.27,97.263,97.072,97.588,104.414
,남원시,,,-,80.482,94.13,97.36,100.778,99.489,98.47,99.792,102.03,101.51,99.624,102.69
,김제시,,,-,98.893,97.143,97.073,97.965,98.343,96.593,96.741,96.889,97.3,98.628,101.74
